"vyska","vaha","pohlavi"
167.8,59,1
159.5,47.6,1
167.6,63,1
161.2,55.2,1
160,45,1
163.2,54,1
162.2,50.2,1
161.3,60.2,1
149.5,44.8,1
157.5,58.8,1
163.2,56.4,1
172.7,62,1
155,49.2,1
156.5,67.2,1
164,53.8,1
160.9,54.4,1
162.8,58,1
167,59.8,1
160,54.8,1
160,43.2,1
168.9,60.5,1
158.2,46.4,1
156,64.4,1
160,48.8,1
167.1,62.2,1
158,55.5,1
167.6,57.8,1
156,54.6,1
162.1,59.2,1
173.4,52.7,1
159.8,53.2,1
170.5,64.5,1
159.2,51.8,1
157.5,56,1
161.3,63.6,1
162.6,63.2,1
160,59.5,1
168.9,56.8,1
165.1,64.1,1
162.6,50,1
165.1,72.3,1
166.4,55,1
160,55.9,1
152.4,60.4,1
170.2,69.1,1
162.6,84.5,1
170.2,55.9,1
158.8,55.5,1
172.7,69.5,1
167.6,76.4,1
162.6,61.4,1
167.6,65.9,1
156.2,58.6,1
175.2,66.8,1
172.1,56.6,1
162.6,58.6,1
160,55.9,1
165.1,59.1,1
182.9,81.8,1
166.4,70.7,1
165.1,56.8,1
177.8,60,1
165.1,58.2,1
175.3,72.7,1
154.9,54.1,1
158.8,49.1,1
172.7,75.9,1
168.9,55,1
161.3,57.3,1
167.6,55,1
165.1,65.5,1
175.3,65.5,1
157.5,48.6,1
163.8,58.6,1
167.6,63.6,1
165.1,55.2,1
165.1,62.7,1
168.9,56.6,1
162.6,53.9,1
164.5,63.2,1
176.5,73.6,1
168.9,62,1
175.3,63.6,1
159.4,53.2,1
160,53.4,1
170.2,55,1
162.6,70.5,1
167.6,54.5,1
162.6,54.5,1
160.7,55.9,1
160,59,1
157.5,63.6,1
162.6,54.5,1
152.4,47.3,1
170.2,67.7,1
165.1,80.9,1
172.7,70.5,1
165.1,60.9,1
170.2,63.6,1
170.2,54.5,1
170.2,59.1,1
161.3,70.5,1
167.6,52.7,1
167.6,62.7,1
165.1,86.3,1
162.6,66.4,1
152.4,67.3,1
168.9,63,1
170.2,73.6,1
175.2,62.3,1
175.2,57.7,1
160,55.4,1
165.1,104.1,1
174,55.5,1
170.2,77.3,1
160,80.5,1
167.6,64.5,1
167.6,72.3,1
167.6,61.4,1
154.9,58.2,1
162.6,81.8,1
175.3,63.6,1
171.4,53.4,1
157.5,54.5,1
165.1,53.6,1
160,60,1
174,73.6,1
162.6,61.4,1
174,55.5,1
162.6,63.6,1
161.3,60.9,1
156.2,60,1
149.9,46.8,1
169.5,57.3,1
160,64.1,1
175.3,63.6,1
169.5,67.3,1
160,75.5,1
172.7,68.2,1
162.6,61.4,1
157.5,76.8,1
176.5,71.8,1
164.4,55.5,1
160.7,48.6,1
174,66.4,1
163.8,67.3,1
